Anni,Nord-ovest,Nord-est,Centro,Sud,Isole
1861,6834,2083,3627,6614,3018
1871,7425,4932,4734,6983,3226
1881,7842,5165,4913,7418,3613
1901,8803,5742,5757,8297,4364
1911,9591,6550,6200,8821,4680
1921,10046,8235,6666,9341,5108
1931,10560,8596,7199,9799,4890
1936,10804,8682,7634,10244,5034
1951,11745,9417,8668,11922,5763
1961,13157,9504,9387,12436,6140
1971,14938,10026,10298,12720,6155
1981,15291,10410,10803,13552,6501
1991,14951,10379,10911,13923,6614
2001,14939,10635,10907,13915,6601
2011,15766,11448,11601,13977,6642
